instance,title,replies,retweets,likes,class
14,Inflation in the UK has accelerated to a new 40-year high driven by rising food and fuel prices contributing to a cost-of-living crisis. https://t.co/cqhuPL7Fqm',16,21,70,real
15,The race for U.S. Senate is heating up in Arizona as a cluster of ads backing Trump-backed Republican Blake Masters are hitting the airwaves one of which further exposes the Chinese business ties of Masters’ primary opponent Jim Lamon. https://t.co/wnjfu5Nki6',7,50,185,real
16,Higher interest rates and very high home prices dragged down demand for mortgages for the third straight week data from the Mortgage Bankers Association indicated Wednesday. https://t.co/vpvmxLmXff',26,67,136,real
17,Former New York City Mayor Bill de Blasio (D) announced Tuesday he is no longer a candidate for New York’s tenth congressional district. He withdrew after two months campaigning lamenting it’s clear people are looking for another option. https://t.co/AhLaWa3DXW',36,24,184,real
18,When a home caught fire in Boston’s Hyde Park on Sunday one person at the scene jumped into action to save an infant. https://t.co/Arwkuwbh1w',4,12,94,real
19,A ballot initiative that will be placed before Oregon voters this fall would ban high capacity magazine sales and require a permit for firearm purchases.  https://t.co/oyhWVOBg2p',45,34,46,real
20,Sen. Marco Rubio (R-FL) who is up for reelection continues to fight back against the Chinese Communist Party (CCP) while his likely Democrat challenger Rep. Val Demings (D-FL) makes TikToks the Rubio campaign said Wednesday. https://t.co/0nGK9kVQuR',28,57,212,real
21,Pope Francis has begun a fraught visit to Canada to apologize to Indigenous peoples for abuses by missionaries at residential schools. https://t.co/pLA5JAVKRA',9,9,35,real
22,RT @FaceTheNation: I do think monkeypox can be contained  Dr. Ashish Jha tells @margbrennan while explaining a straightforward strategy…',15,8,15,real
23,RT @FaceTheNation: What are the next steps the Biden administration is thinking about taking in order to handle monkeypox? Were looking a…',10,8,9,real
24,RT @FaceTheNation: White House COVID-19 Response Coordinator Dr. Asish Jah confirms that President Biden was infected with the BA.5 variant…',10,11,14,real
25,RT @FaceTheNation: .@margbrennan: Theres a lot of speculation about your own political future...is that counterproductive for Democrats t…',14,12,37,real
26,RT @FaceTheNation: President Biden is still thinking about lifting tariffs on China Commerce Sec. Raimondo tells @margbrennan. She point…',4,15,27,real
27,Daniel J. Palmer III the West Virginia man accused of putting his sister in a 2-year coma has died in custody. https://t.co/VjVyAaDBTN',8,12,37,real
28,Catch up on the good news. Stream The Uplift – the most heartwarming inspiring news stories – now https://t.co/1yYzOUd2v7',4,9,22,fake
29,American rock singer Pat Benatar will no longer perform one of her hit songs following a marked rise in gun violence in the U.S. https://t.co/GOj1fqEo0O',57,31,114,real
30,A suspect has been arrested in an ambush shooting Thursday night in which one police officer was killed and a second wounded in Rochester New York officials said.  https://t.co/cOuC7wOlXE',7,12,58,real
31,Consumers are paying $10000 more to buy a used car than if the economy were normal and older vehicles were following the typical pattern of depreciation a recent study finds. https://t.co/GGvOJWy4Bg',13,8,29,real
32,Head of the British intelligence service MI6 Richard Moore said Thursday that Russian President Vladimir Putin had thus far suffered a strategic defeat in Ukraine. https://t.co/wfviirjhcg',15,32,104,real
33,A Puerto Rico court archived a restraining order issued against superstar Ricky Martin a judicial spokesperson said Thursday. https://t.co/BCA6hdRL3Y',2,5,20,real
34,A special school board meeting that was scheduled for Saturday morning to terminate Pete Arredondo Uvalde schools police chief has been canceled. https://t.co/cEYSbPxHBI',10,19,34,real
35,A Chinese court has overruled a rare legal challenge brought by an unmarried Beijing woman seeking the right to freeze her eggs. https://t.co/D8fhIhAvrF',7,14,26,real
36,Russian missiles hit Ukraines Black Sea port of Odesa hours after Moscow and Kyiv signed deals to allow grain exports to resume from there. https://t.co/WeyD9CsyWr',8,32,57,real
37,International human rights groups urged Sri Lankas new president to immediately order security forces to cease the use of force against protesters following months of demonstrations. https://t.co/a8AYrsczKH',6,8,34,real
38,The expanding monkeypox outbreak in more than 70 countries is an extraordinary situation that qualifies as a global emergency the World Health Organization chief said Saturday. https://t.co/S1oYm1m4P1',38,36,66,real
39,More than 17 million viewers watched Thursday nights hearing of the House committee investigating the Jan. 6 2021 attack on the U.S. Capitol. https://t.co/uElu4KaleR',135,102,508,real
40,Diane Ronnau who spent more than three decades as a producer for CBS News has died. https://t.co/Eio9mFl5ox',21,34,138,real
41,Italian Prime Minister Mario Draghi submits his resignation plunging the European Unions third-largest economy into fresh turmoilhttps://t.co/0AMZbDrFhM',69,111,283,real
42,Alex Murdaugh pleads not guilty to the 2021 murders of his wife and son. The disgraced South Carolina attorney has denied involvement in their deaths. https://t.co/UiBJMhW9JK https://t.co/jOQsEu1Xyk',95,66,211,real
43,Home prices hit a new all-time high in June even as home sales declined for the fifth straight month as lack of affordability continues to push buyers out of the market. https://t.co/1lHMry3UDt',50,94,272,real
44,The Democrat-led House of Representatives on Tuesday voted to pass a bill that would enshrine protections for same-sex marriage into federal law. But its not clear whether the bill can pass the Senate. https://t.co/Et9YCAGCdY',217,208,1006,real
45,Judge rules Twitters lawsuit against Elon Musk over $44 billion acquisition agreement should go to a five-day trial in Octoberhttps://t.co/ZFb5u5TZTX',131,262,944,real
46,The judge in the Steve Bannon trial says hes open to a modest delay as the parties fight over certain evidence. Follow live updates: https://t.co/2OCgmg4Ix9',38,38,171,real
47,Bennie Thompson chairman of the House Jan. 6 committee tests positive for Covid-19 ahead of Thursdays primetime hearinghttps://t.co/ybYoBhxIE2',114,81,290,real
48,The UK has recorded its hottest day ever with a provisional reading of 39.1 degrees Celsius (102.4 Fahrenheit) measured in southeast Englandhttps://t.co/iNrxDroUR1',104,291,713,real
49,RT @CNN: A new CNN poll finds widespread dissatisfaction with President Biden and the US economy. The publics outlook on the state of the…',1154,410,947,real
50,Dr. Anthony Fauci the US top infectious disease expert says he plans to leave his role before the end of President Bidens current term https://t.co/NXz8ug9lqI',1295,649,2633,real
51,RT @CNN: Dramatic bodycam video from inside Robb Elementary School captures the confusion and chaos as law enforcement responded and evacua…',226,354,686,real
52,JUST IN: A preliminary report on the Uvalde massacre outlines multiple failures by several entities including law enforcement the school system and the shooters family. Follow live updates here. https://t.co/2Y6HvM1N3X',197,231,932,fake
53,Crown Prince Mohammed bin Salman responded defensively after President Biden brought up the 2018 murder of Jamal Khashoggi a source says https://t.co/QXLpzYbxUm',243,128,552,real
54,Ivana Trump an ex-wife of former President Trump died of blunt impact injuries to the torso medical examiner says ruling her death accidental https://t.co/O2p6T7YHCC',388,209,719,real
55,The Democratic-led House of Representatives just passed a pair of bills aimed at protecting access to abortion in the wake of the Supreme Courts decision to overturn Roe v. Wade.  But the bills are on track to run into a wall in the Senate. https://t.co/UlXC4bznnJ',160,166,790,real
56,Ivana Trump an ex-wife of former President Donald Trump has died. She was 73. https://t.co/BRVua2Kue0',386,356,1254,real
57,Everyone has been found after reports of more than 40 people missing in a rural Virginia county inundated by torrential rains https://t.co/euWgVK1yxZ',82,145,1116,real
58,Italian Prime Minister Mario Draghi says he will resign after his government loses the support of a coalition partner https://t.co/T2tTwhSwCv',66,126,494,real
59,Sri Lankas self-exiled President Gotabaya Rajapaksa resigns by email after fleeing political turmoil to Singapore officials say https://t.co/IFtlKgV7JQ',67,161,537,real
60,A grand jury indicts South Carolina attorney Alex Murdaugh on murder charges in the deaths of his wife and son https://t.co/90ZuzhxQ7r',66,164,847,real
61,Italian Prime Minister Draghi resigns in latest world leader shakeup https://t.co/fXPRdgXCWZ',16,24,67,real
62,Nike Lebron and NBA silent as Chinas crackdown on LGBT community continues https://t.co/d8uGelePqE',82,87,238,real
63,New York City school bus overturns; 36 adults transported to area hospitals https://t.co/4nujhvPdfz',16,20,49,real
64,Michigan business owners in uproar after city decriminalizes public urination defecation https://t.co/4HUkO4r3PT',66,54,116,real
65,Video shows Utah child 4 shoot at police outside McDonalds drive-thru https://t.co/CXABCrCSpn',61,36,64,real
66,NBA champ pushes back on LeBron James comments on racist Celtics fans agrees they could be disrespectful https://t.co/I5UbwPKRnA',23,5,36,real
67,Michigans Jim Harbaugh draws outrage over pro-life remarks https://t.co/u0bM3Tlfid',97,17,130,real
68,76ers James Harden finalize 2-year deal: reports https://t.co/bbey4ZChfr',5,10,50,real
69,OPINION: School choice winning but teachers union empire striking back https://t.co/8b83AxlEFF',32,25,90,real
70,Charles Johnson Super Bowl champ and former first-round draft pick dead at 50 https://t.co/23l8YmLh4u',11,24,60,real
71,Bradley Cooper is fascinated by Huma Abedin new couple still in the earlier stages of dating: report https://t.co/Z1LiKEo7kQ',83,8,40,real
72,Rare 400-pound spotted eagle ray jumps into boat gives birth https://t.co/Ffn0L0C9Ww',8,21,155,real
73,Minnesota city to disband police department https://t.co/nmmwlLMQHg',66,28,67,real
74,Ocasio-Cortez Omar pretending to be handcuffed after arrest at protest blows up Twitter: This is too much https://t.co/m0hLvRb4oq',176,67,342,real
75,Johnny Depps redheaded mystery womans identity revealed https://t.co/2oib50AQnH',20,9,52,fake
76,GoFundMe for Indiana pizza man who saved 5 from burning home raises stunning amount of cash https://t.co/oMdWXui77F',24,30,330,real
77,Major media outlets totally ignore Nancy Pelosis husband making a controversial stock purchase https://t.co/7Q5fG8xrut',98,223,511,real
78,Floridas Anthony Richardson explains dropping AR-15 nickname: It was pretty much a business decision https://t.co/qP6x4b7XS4',24,5,37,real
79,FOX NEWS FIRST: Bidens climate speech cancer confusion Border Patrol agents rip Mayorkas claim and more top headlines https://t.co/GEzVpAwxFH',49,27,131,real
80,Missouri shopper shoots kills armed robber holding knife to clerks neck https://t.co/p2zlI3AYrG',77,125,636,real
81,I figured all these other guys are cheating Barry Morphew said of his decision to cast the ballot after his wifes disappearance according to an arrest warrant. https://t.co/Ete2P73CPj',1,1,3,real
82,David Jakubonis told investigators that he’d been drinking that day and must have checked out before climbing on stage authorities said. https://t.co/biUHQAqknK',11,3,17,real
83,For years Jones and Infowars have falsely claimed the Sandy Hook shooting was fake. Jones will now face the consequences of those lies. https://t.co/RFOH3CcLML',26,56,257,real
84,Serums bronzers highlighters and more skin care and makeup to give you a natural-looking radiance. https://t.co/abLDfIzQDw',2,1,11,real
85,Comfy but make it business-casual. https://t.co/5dmkJahmLm',0,2,6,real
86,After years of searching and testing here are some of my favorite Earth-friendly finds. https://t.co/SK4KM0DgU5',0,1,14,real
87,Director Ryan Coogler honored the late great Chadwick Boseman who brought TChalla to  life in the first Black Panther film. https://t.co/lzW5N9TbLF',5,86,569,real
88,If you actually WATCHED Lost you’d know not to f**k with the bald guy slammed Damon Lindelof. https://t.co/rzjXzVQsab',5,14,118,real
89,The actor died earlier this month in Los Angeles. https://t.co/KUMIA9Wmp8',4,12,35,real
90,Hawleys been widely ridiculed since video showed him fleeing Capitol rioters not long after saluting them. https://t.co/1GVxYR8fhz',26,39,211,real
91,The U.S. congressman is being blasted for his overtly misogynistic speech at a conservative student summit. https://t.co/bf0QlQDm7J',144,131,369,real
92,The senators crude remark came during his speech at a conservative student conference on Friday. https://t.co/J2Dzk80PX4',47,24,48,real
93,Get your feet wardrobe and backyard ready for some fun in the sun. https://t.co/i3oAwkYkZK',2,0,11,real
94,The star surprised Hall H by showing up in full Black Adam regalia to share exclusive footage from the anticipated superhero movie. https://t.co/OjsThaJtQB',2,9,65,real
95,The right-wing tabloid controlled by Rupert Murdoch slammed former President Donald Trumps damning inaction during the Capitol riot. https://t.co/xBQeieE2Wz',55,122,324,real
96,While the two actors have been legally separated for years their divorce has yet to be finalized — making ownership over the lucrative Château Miraval winery all the more complicated. https://t.co/b40w2Ls6DV',6,3,30,real
97,Californias worst drought in decades is causing scorching temperatures and bone dry vegetation fueling the explosive fire. https://t.co/6X02qIJ040',11,20,46,real
98,RT @The_H_Train: they hate to see a girlboss winning https://t.co/dwBhnuyMsi',6,25,117,real
99,Freya is quickly becoming an international icon but the stress of fame has become bothersome for her. https://t.co/MTHPEKx6tZ',1,18,107,real
100,Cudi who replaced West as a festival headliner on short notice was repeatedly pelted by water bottles from a disrespectful crowd. https://t.co/FeZj4oNHTi',5,4,10,real
101,No wonder Elon Musk decided not to buy Twitter…Elon Musk Reveals Twitter Is a Military Grade Psy-Op To Brainwash the Masseshttps://t.co/9cnT755Cz4⁦@elonmusk⁩',1,7,10,fake
102,Evidence of pizza-related pedophile code words have been found in Hunter Bidens leaked emails which reference both Hillary Clinton and John Podesta.https://t.co/V2H4wIhtiL',2,20,25,fake
103,Newly released Hunter Biden emails reveal the presidents son fathered another child with a drug-addicted prostitute and then left her homeless and begging for help. https://t.co/vGfcHJKhQS',2,12,22,real
104,RT @LionelMedia: Buffalo shooter [censored] is a far-left activist who vowed to seek justice for Ukraine and expressed hatred for conser…',59,487,700,real
105,Buffalo shooter Payton Gendron supports the far-left  agenda in Ukraine and identifies as an authoritarian leftist according to his manifesto.Quote from his manifesto: On the political compass I fall in the mild-moderate authoritarian left categoryhttps://t.co/3GIq5nQjhw',6,16,12,real
106,🚨  FIRST AMENDMENT WIN 🚨 Breaking: Twitter accepts Elon Musks $43 billion offer - will now be forced to become censorship-free under new ownership. This is a massive WIN for free speech! Congratulations @elonmusk https://t.co/3zpBd655qx',1,4,11,real
107,RT @SammieJack3: President Putin Hates Globalism & Nazi Ideologyhttps://t.co/cbfGd5ugnx',1,14,37,real
108,RT @cities12345678: The Bidens Helped Neo-Nazis Rise to Power in Ukraine https://t.co/3f7KDpE7Gx via @realnewspunch',0,20,14,real
109,RT @bohdanam: Bill Gates-Linked Lab Developing Vaccine That Spreads Like a Virus To Vaccinate Anti-Vaxxers - News Punch https://t.co/EVVyuP…',2,22,13,fake
110,RT @catturd2: Can anyone confirm this is true? Moderna CEO Just Dumped $400 Million in Stock and Deleted His Twitter Account https://t.co…',606,2568,6632,fake
111,A father from Ireland says he feels guilty for getting his 10-year-old son vaccinated after the boy suffered a near fatal heart issue while playing at school. https://t.co/sAT000OBfu',1,25,25,real
112,UK boosts arms supply to Ukraine with more anti-tank weapons https://t.co/QEGLZh8WKI https://t.co/NqDGf6ND14',5,4,20,real
113,Italys Super Mario Draghi undone by political infighting https://t.co/AtoQXoW4zN https://t.co/naYP0InfEa',6,12,26,real
114,Women are steering clear of male-dominated Facebook in India because of safety concerns Metas internal research found https://t.co/C4UxSy5URs by @MunsifV @AdityaKalra https://t.co/my8M9JIiGU',5,14,20,real
115,Lula advisers draft plans for more aggressive Brazil foreign exchange policy https://t.co/lSIUkqg8MJ https://t.co/VonjEMGiVR',6,6,9,real
116,President of European Central Bank Christine Lagarde speaks to reporters following the ECB raising its deposit rate by 50 basis points#ECB #ChristineLagarde #Reuters #Live #News https://t.co/VKZGAiZ5R0',4,28,50,real
117,Oil prices slump as stockpiles and rate hikes stoke demand fears https://t.co/SUSMV50t3B https://t.co/TBlZ0Ye1u1',6,23,55,real
118,Greece opposes EU plan to cut gas use plans power cuts in emergency https://t.co/vvwx8At4uv https://t.co/XDsHbAFu08',8,25,46,real
119,Revived Qatar order caps Boeing air show fightback https://t.co/EtgC8wzVtF https://t.co/Mv2rwFBopE',7,9,15,real
120,The Congressional probe of the Jan. 6 attack wraps up its hearings four men indicted in the Texas smuggling incident that killed 53 migrants Italian Prime Minister Mario Draghi resigns after his government falls apart and more. 5⃣ stories you need to know today https://t.co/Fo73pbZ2L7',0,12,21,real
121,Big Oil set to open cash taps with another record quarter https://t.co/9XyAvgBli1 https://t.co/Zzdw3UxhQJ',9,16,20,real
122,📸 From @reuterspictures: Young cygnets and swans are counted and have their health assessed during the swan upping census on Britains River Thames https://t.co/W4ZzQRwk3a',1,6,17,real
123,ECB raises rates for first time in decade with a 0.5 percentage point increase and a safety net for debtors https://t.co/kIJxlI8EyD https://t.co/ft1ceNNwqn',3,28,27,real
124,Nokia sees chip shortage easing as profit beats forecasts shares rise https://t.co/rNuTfuayLp https://t.co/jKGyjuRAQb',2,8,30,real
125,Russia resumed pumping gas through its biggest pipeline to Europe after a 10-day outage easing Europes supply concerns amid an economic tit-for-tat with the Kremlin over its invasion in Ukraine https://t.co/rdc1TuBfsE https://t.co/43XrAgUixd',5,29,25,real
126,Ofcom’s latest report on news consumption in Britain outlined how a range of age groups consumed news differently and showed for the first time that Instagram was the most popular news source among teenagers https://t.co/ELkejOCTv2 via @FarouqUSS',1,14,19,real
127,Nasdaq futures fight to stay positive with upbeat Tesla results https://t.co/7GueVSipvl https://t.co/jR6W8KuVtS',1,7,16,real
128,The Sloomoo Institute in New York dedicated to all things slime was created in 2019 by Sara Schiller and Karen Robinovitz after Robinovitz found that slime helped heal the grief she was going through at the time https://t.co/oLZ8no6Oja https://t.co/MLAQJHfwBK',0,9,27,real
129,Italys Draghi hands in resignation to president -statement https://t.co/WWpNWBXvhF https://t.co/I8eHbTroO2',4,23,46,real
130,The oldest-known video of New Orleans and Mardi Gras on display at the Louisiana State Museum shows how customs have changed over the years https://t.co/1ghQDt5sVE https://t.co/i8rvEwuXdn',2,19,52,real
131,AT&T sees higher wireless service revenue as subscribers jump https://t.co/yrybxK1g4s https://t.co/ajvLFPPJVY',2,6,17,real
132,Chinese military significantly more aggressive and dangerous in past five years US top military officer warns https://t.co/o5ha3zTkB7',23,18,53,real
133,Cost of living crisis: Teens making money for their families by joining gangs and selling drugs https://t.co/aR0tGsoZsW',76,38,79,real
134,Fire service declares major incident in Surrey as Hankley Common burns https://t.co/UjgCJ6m7sH',13,52,74,real
135,Images from behind the cordon at a village in east London show the damage and devastation caused by the fire which broke out during last weeks heatwave.@IvorBennett has the latest.Read more: https://t.co/KhLRuB6Hfn📺 Sky 501 Virgin 602 Freeview 233 and YouTube https://t.co/L1021vrXQX',4,13,35,real
136,Police are appealing for videos and pictures after a 28-year-old man died in a shooting during a gathering of up to 100 people https://t.co/9DcLWz7xgg',0,17,33,real
137,Cordon lifted after Wennington fire as images show devastation of blaze on UKs hottest day https://t.co/4aaYG0TV8W',11,9,35,real
138,Barclays snaps up stake in $2bn cryptocurrency firm Copper https://t.co/cZkuZmiUsv',4,22,59,real
139,Nothing will stop Ryan Gosling and Eva Mendes children from learning the piano - except when their dad has to film explosion scenes. 💥Listen to more of @ClaireSkyNews chat with the cast of #TheGrayMan on this weeks #Backstage - subscribe wherever you get your podcasts 👇',5,8,34,real
140,The missile strike came less than 24 hours after Moscow and Kyiv signed a landmark deal intended to avert an international food crisis https://t.co/lYChBiH0a3',31,18,54,real
141,As far as were concerned everything is going rightEurotunnels John Keefe says its difficult to answer why delays are happening as their services are running as they shouldhttps://t.co/Qil8YrlVil📺 Sky 501 Virgin 602 Freeview 233 and YouTube https://t.co/RCf1PSYsEO',21,10,16,real
142,Japanese volcano Sakurajima erupts as alert level 5 triggered https://t.co/xXkOwEq1C3',16,93,141,fake
143,Liz Truss or Rishi Sunak? 🤔 On this weeks @BethRigby Interviews podcast she assesses the chances of the final two Tory leadership contenders. Plus Labour leader Sir Keir Starmer on beergate... 🎧 Listen 👇',38,6,24,real
144,A party alone choosing a new prime minister is considered legitimate in British politics. But there are still ways Rishi Sunak and Liz Truss can be held to account - like the Sky News debate on 4 August writes @adamboultonTABBhttps://t.co/E8tlfuhlZv',22,6,25,real
145,British man feared to have drowned in Lake Garda after saving his son https://t.co/Psfr9vodwy',5,14,69,real
146,The British model talks about the dangers of the fashion industry claims that she glorified thinness and drug use and her part in Johnny Depps recent lawsuit https://t.co/SlxHBU57qw',10,13,49,real
147,Sarah Harding: Girls Aloud stars Cheryl Nadine Coyle and Nicola Roberts do Race for Life in memory of bandmate https://t.co/RzOwzdbobc',7,5,121,real
148,Marvel announces new films and TV shows at Comic-Con in San Diego https://t.co/XWmZSM2ahk',0,9,57,fake
149,Roads leading to the Port of Dover were busy on Sunday morning but moving as normal.Jack Cousens head of roads policy at the AA told Sky News the main focus now is shifting towards the Eurotunnel terminal at Folkestonehttps://t.co/MbIsaC0OIJ https://t.co/wh7icN70P1',40,7,30,real
150,After the cost of refurbishment ramped up this year ahead of the platinum jubilee - building work paid for by the taxpayer - questions have been raised about who should pay the price https://t.co/vTXp203D7j',19,26,84,real
151,The actress speaks to Sky News Backstage podcast about what it was like playing marsh girl Kya in such an anticipated movie https://t.co/qKFpWcwtWA',1,5,27,real
152,European Central Bank raises interest rates for first time in 11 years as it tries to control soaring eurozone inflation https://t.co/qVDXzM0Yri',26,104,194,real
153,Italian Prime Minister Mario Draghi resigns after week of turmoil https://t.co/NS6oyO0bQj',94,184,518,real
154,UKs Charity Commission will not take further action over a £2.5m cash donation to Prince Charless charityhttps://t.co/ei8KOxxVPV',136,98,386,real
155,Penny Mordaunt knocked out of Conservative leadership contest - leaving Rishi Sunak and Liz Truss in race to be UKs next prime ministerhttps://t.co/RoLblcPe1f',425,350,935,real
156,UK inflation jumps to 9.4% in year to June with prices increasing at fastest rate for 40 years driving up cost of living https://t.co/dOBmczPRnW',210,480,991,real
157,Royal Mail workers vote overwhelmingly to strike in UK dispute over pay union says https://t.co/whiWMORav7',236,267,1541,real
158,Kemi Badenoch knocked out in latest round of Conservative leadership contest and race to be next UK prime ministerhttps://t.co/2ttDM4rcbK',222,192,778,real
159,UK temperature tops 40C for first time provisional Met Office figures show with 40.2C recorded at Heathrow https://t.co/SKYVA8LhNj',289,1042,2793,real
160,UK experiences its hottest day on record with temperature reaching 39.1C according to provisional Met Office figureshttps://t.co/JBh1rhnbuU',195,436,1423,fake
161,Tom Tugendhat out of race to be Conservative leader and next UK prime minister after latest vote https://t.co/WDek5TtoCO',150,106,513,real
162,Nearly 3.5 million people in UK had coronavirus in week up to 6 July - up from 2.7 million the week before https://t.co/NL8b4SZwp8',369,401,1106,real
163,Life-support treatment for 12-year-old Archie Battersbee can be stopped by doctors UK judge ruleshttps://t.co/1DnBy0NAZ5',162,76,602,real
164,British man Paul Urey who was captured by Russian-backed separatists in Ukraine has died in detention reports sayhttps://t.co/Fd5kYY7U8G',388,669,1573,real
165,Red extreme heat warning issued for parts of England on Monday and Tuesday meaning there is danger to life https://t.co/2QRzdlXEyB',291,553,1234,real
166,Workers at Network Rail and 14 train operators to strike on 18 and 20 August in row over jobs pay and conditions RMT union says https://t.co/cSiguFwoNI',183,211,951,real
167,Ivana Trump Donald Trumps first wife and mother of three of his children dies aged 73 https://t.co/fIqKTMdLju',284,590,1751,real
168,Italian PM Mario Draghi announces his resignation after government loses backing of populist coalition partner https://t.co/4SVgFDRp1w',230,895,2048,real
169,Sri Lankas President Gotabaya Rajapaksa formally resigns after fleeing the country as protesters celebrate on the streets of Colombo https://t.co/w95HvTZH5h',110,519,1705,real
170,Nadhim Zahawi and Jeremy Hunt out of leadership race as Rishi Sunak tops first vote of Conservative MPshttps://t.co/w02OOu4MeZ',215,160,643,real
171,UK railway workers to stage one-day strike on Wednesday 27 July as part of ongoing dispute over pay jobs and conditions RMT union says https://t.co/5CoymVAKSO',142,262,1003,real
172,For the record: This tweet corrects a deleted tweet that misstated Trumps purpose in D.C. on Tuesday.',11,2,11,real
173,Trump returns to Washington D.C. on Tuesday to deliver the keynote address for AFPI’s America First Agenda Summit. His allies are eager for him to use the occasion to press pause of his grievances about 2020 and begin to lay out a game plan for 2024.https://t.co/s0NYHpcd7r',23,6,25,real
174,The top spender in Democratic primaries is singularly focused on Israel — and fights over the issue are rending the party in district after district.https://t.co/1VaKgocpt7',9,4,18,real
175,Vice President Kamala Harris has held meetings with lawmakers in states where abortion rights have been or will be greatly restricted.https://t.co/qUVUvC1GNx',19,11,44,real
176,Long-standing problems worker burnout and staff turnover have grown worse as Covid-19 waves have hit health care workers again and again. https://t.co/znwIPZuZI0',4,7,22,fake
177,Tammy Baldwin is about halfway to her goal of getting 10 Republicans to filibuster-proof a same-sex marriage bill.https://t.co/bIy2nyq2aA',5,10,63,real
178,Keep up with Congress with Huddle our indispensable Capitol Hill morning newsletter. Subscribe today.https://t.co/dfpSNWPYfR https://t.co/wsn4mnJ0Af',1,3,4,real
179,A California lawmaker’s proposal would publicize the pay scales at thousands of companies and temp agencies nationwide requiring large businesses to report breakdowns by gender race and ethnicity https://t.co/bBi0Rd7ssP',22,32,138,real
180,Nobody covers this town quite like Playbook. Subscribe to the unofficial guide to official Washington.https://t.co/Ceig2eRhJ2 https://t.co/7DMAQtEjRx',3,0,9,real
181,No one can agree on how many ships the Navy needs and Congress isnt pleased https://t.co/9H2PrBeyZG',17,20,37,real
182,Rep. Liz Cheney said Sunday the Jan. 6 committee is prepared to consider subpoenaing Virginia Thomas wife of Supreme Court Justice Clarence Thomas if she does not appear voluntarily https://t.co/mZBc0HZVm4',204,875,2978,real
183,Thanks to Washington states unusual open primary Trumps revenge campaign is much less likely to work against GOP Reps. Jaime Herrera Beutler and Dan Newhouse who voted to impeach him https://t.co/OVtEmi14pQ',2,33,90,real
184,The victor in New Yorks 19th Congressional District will win just four months in office. But the August special election could give the clearest indication yet of whether abortion will keep Democrats in control of Congress. https://t.co/f1h8mVT20C',14,16,40,real
185,Step inside the West Wing and get the latest updates on the president and his team. Subscribe to West Wing Playbook today.https://t.co/AsF2TXHAuK https://t.co/LtK6DlsGgK',6,3,11,real
186,Pope Francis’ historic visit to Canada could open a profound new period of healing for those who suffered under the stifling custody of the church as well as their descendants. It all depends on the words the pope chooses.https://t.co/Fq8Q514gmh',7,15,38,real
187,A gathering of national security leaders led to lots of warnings about Iran Taiwan and Western attention to the Russian war on Ukraine https://t.co/aRiZJ7Fm8R',8,25,69,real
188,Gov. Kathy Hochuls team wants to seize on the Capitol assault and GOP opponent Lee Zeldin’s conservative positions including his support for former President Donald Trump to boost Democratic turnout as she seeks a full term in a heavily blue state. https://t.co/wC32fE8WMQ',29,22,61,real
